類別,醫院/診所名稱,住址,電話,Google Maps
綜合醫院,中國醫藥大學附設醫院,台中市北區育德路2號,04-22052121,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9C%8B%E9%86%AB%E8%97%A5%E5%A4%A7%E5%AD%B8%E9%99%84%E8%A8%AD%E9%86%AB%E9%99%A2%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8C%97%E5%8D%80%E8%82%B2%E5%BE%B7%E8%B7%AF2%E8%99%9F
綜合醫院,宏恩醫院,台中市南區復興路二段38之13號,04-22623123,https://www.google.com/maps/search/?api=1&query=%E5%AE%8F%E6%81%A9%E9%86%AB%E9%99%A2%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E5%BE%A9%E8%88%88%E8%B7%AF%E4%BA%8C%E6%AE%B538%E4%B9%8B13%E8%99%9F
綜合醫院,宏恩醫院龍安分院,台中市南區德富路145巷2號,04-37017188,https://www.google.com/maps/search/?api=1&query=%E5%AE%8F%E6%81%A9%E9%86%AB%E9%99%A2%E9%BE%8D%E5%AE%89%E5%88%86%E9%99%A2%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%8D%80%E5%BE%B7%E5%AF%8C%E8%B7%AF145%E5%B7%B72%E8%99%9F
綜合醫院,新菩提醫院,台中市大里區中興路二段621號,04-24829966,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E8%8F%A9%E6%8F%90%E9%86%AB%E9%99%A2%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%A4%A7%E9%87%8C%E5%8D%80%E4%B8%AD%E8%88%88%E8%B7%AF%E4%BA%8C%E6%AE%B5621%E8%99%9F
綜合醫院,澄清綜合醫院(平等),台中市中區平等街139號,04-24632000,https://www.google.com/maps/search/?api=1&query=%E6%BE%84%E6%B8%85%E7%B6%9C%E5%90%88%E9%86%AB%E9%99%A2%28%E5%B9%B3%E7%AD%89%29%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E4%B8%AD%E5%8D%80%E5%B9%B3%E7%AD%89%E8%A1%97139%E8%99%9F
綜合醫院,衛生福利部臺中醫院,台中市西區三民路一段199號,04-22294411,https://www.google.com/maps/search/?api=1&query=%E8%A1%9B%E7%94%9F%E7%A6%8F%E5%88%A9%E9%83%A8%E8%87%BA%E4%B8%AD%E9%86%AB%E9%99%A2%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E8%A5%BF%E5%8D%80%E4%B8%89%E6%B0%91%E8%B7%AF%E4%B8%80%E6%AE%B5199%E8%99%9F
綜合醫院,臺中榮民總醫院,台中市西屯區台灣大道四段1650號,04-23592525,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E4%B8%AD%E6%A6%AE%E6%B0%91%E7%B8%BD%E9%86%AB%E9%99%A2%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E8%A5%BF%E5%B1%AF%E5%8D%80%E5%8F%B0%E7%81%A3%E5%A4%A7%E9%81%93%E5%9B%9B%E6%AE%B51650%E8%99%9F
綜合醫院,彰化基督教醫院,彰化市南校街135號,04-7238595,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E5%9F%BA%E7%9D%A3%E6%95%99%E9%86%AB%E9%99%A2%20%E5%BD%B0%E5%8C%96%E5%B8%82%E5%8D%97%E6%A0%A1%E8%A1%97135%E8%99%9F
綜合醫院,童綜合醫院,台中市梧棲區台灣大道八段699號,04-26581919,https://www.google.com/maps/search/?api=1&query=%E7%AB%A5%E7%B6%9C%E5%90%88%E9%86%AB%E9%99%A2%20%E5%8F%B0%E4%B8%AD%E5%B8%82%E6%A2%A7%E6%A3%B2%E5%8D%80%E5%8F%B0%E7%81%A3%E5%A4%A7%E9%81%93%E5%85%AB%E6%AE%B5699%E8%99%9F
綜合醫院,秀傳紀念醫院,彰化市中山路一段542號,04-7256166,https://www.google.com/maps/search/?api=1&query=%E7%A7%80%E5%82%B3%E7%B4%80%E5%BF%B5%E9%86%AB%E9%99%A2%20%E5%BD%B0%E5%8C%96%E5%B8%82%E4%B8%AD%E5%B1%B1%E8%B7%AF%E4%B8%80%E6%AE%B5542%E8%99%9F
