系所,類別,年級,課號,科目中文,科目英文,學分,時數,時段(節次),教室,授課教師,開課單位,名額,已選,餘額,授課語言,備註
U56 資訊工程學系學士班,必修,一年級,1226,微積分(一),Calculus (I),3,3,"234,35",AT336,戴淯琮,應數系,55,17,,英文/EMI,
U56 資訊工程學系學士班,必修,一年級,1245,普通物理學實驗,General Physics Lab,1,,4567,S2A06,張志軍,物理系,70,22,,中文,
U56 資訊工程學系學士班,必修,一年級,1255,普通物理學,General Physics,3,3,3234,S201,林偉翔,物理系,65,19,,中文,
U56 資訊工程學系學士班,必修,一年級,1279,計算機程式設計,Computer Programming,3,3,5234,S821,王秀郎,資工系,57,15,1,中文,
U56 資訊工程學系學士班,必修,一年級,1341,機率,Probability,3,3,1234,AT338,吳俊霖,資工系,70,0,,中文,
U56 資訊工程學系學士班,必修,二年級,2152,邏輯設計,Logic Design,3,3,3234,AT242,張延任,資工系,60,3,1,中文,
U56 資訊工程學系學士班,必修,二年級,2202,資料結構,Data Structures,3,3,1567,AT335,曾學文,資工系,70,10,0,中文,
U56 資訊工程學系學士班,必修,二年級,2292,線性代數,Linear Algebra,3,3,2234,AT338,陳煥,資工系,80,1,31,中文,
U56 資訊工程學系學士班,選修,三年級,2304,資訊安全導論,Introduction to Computer Security,3,3,1234,SC112,林詠章,資管系,60,0,6,中文,
U56 資訊工程學系學士班,必修,三年級,3171,作業系統,Operating Systems,3,3,"234,42",AT242,張軒彬,資工系,81,34,4,中文,
U56 資訊工程學系學士班,必修,三年級,3172,作業系統實驗,Operating Systems Lab,1,3,3678,S821,張軒彬,資工系,70,30,22,中文,
U56 資訊工程學系學士班,必修,三年級,3259,計算機組織,Computer Organization,3,3,5234,AT242,陳奕中,資工系,100,50,3,中文,
U56 資訊工程學系學士班,選修,三年級,3286,資料庫管理系統導論,Introduction to Database Management System,3,3,2678,S1002,林傑森,資工系,40,0,0,中/英文,
U56 資訊工程學系學士班,必修,三年級,3345,資訊專題(一) a,Special Projects on Information (I),2,2,*,*,林傑森,資工系,31,0,15,中文,
U56 資訊工程學系學士班,必修,三年級,3346,資訊專題(一) b,Special Projects on Information (I),2,2,*,*,陳奕中,資工系,31,0,15,中文,
U56 資訊工程學系學士班,必修,三年級,3347,資訊專題(一) c,Special Projects on Information (I),2,2,*,*,楊景明,資工系,31,,13,中文,
U56 資訊工程學系學士班,選修,四年級,4108,人工智慧,Artificial Intelligence,3,3,3234,AT335,陳奕中,資工系,60,,10,中文,
U56 資訊工程學系學士班,選修,四年級,4117,機器學習,Machine Learning,3,3,2678,S821,楊景明,資工系,60,,34,英文/EMI,
