系所,類別,年級,課號,科目中文,科目英文,學分,時數,時段(節次),教室,授課教師,開課單位,名額,已選,餘額,授課語言,備註
U64A 電機工程學系學士班,必修,一年級,1220,微積分(一) p,Calculus (I),3,3,3789,EE202,李洳錚,應數系,40,16,,中文,
U64A 電機工程學系學士班,必修,一年級,1248,普通物理學實驗 k,General Physics Lab,1,3,2567,S2A05,阮俊人,物理系,70,37,,中文,
U64A 電機工程學系學士班,必修,一年級,1256,普通物理學 c,General Physics,3,3,1678,S202,王德賢,物理系,40,9,,中文,
U64A 電機工程學系學士班,選修,一年級,1303,計算機概論 a,Introduction to Computer Science,3,3,2234,EE202,賴永康,電機系,75,2,45,中文,
U64A 電機工程學系學士班,必修,一年級,1305,計算機程式設計 Z,Computer Programming,3,3,3234,EE204,吳國光等,電機系,60,0,0,中文,
U64A 電機工程學系學士班,必修,一年級,1323,工程倫理 Z,Engineering and Professional Ethics,2,2,434,EE106,蘇武昌,電機系,100,27,7,中文,
U64A 電機工程學系學士班,選修,二年級,2317,硬體描述語言設計 Z,Hardware Description Language Design,3,3,5234,EE106,黃穎聰,電機系,65,0,0,中文,該科目為數位系統之快速雛形製作之先修科目
U64A 電機工程學系學士班,選修,二年級,2319,資料結構 Z,Data Structures,3,3,2234,EE108,蔡曉萍,電機系,50,0,0,中文,
U64A 電機工程學系學士班,必修,二年級,2325,工程數學(二) a,Engineering Mathematics (II),3,3,1567,EE201,廖俊睿,電機系,60,0,18,中文,
U64A 電機工程學系學士班,必修,二年級,2327,工程數學(三) a,Engineering Mathematics (III),3,3,3567,EE201,陳後守,電機系,60,0,0,中文,
U64A 電機工程學系學士班,必修,二年級,2329,電路學(一) Z,Electrical Circuits (I),3,3,3234,EE108,劉浚年,電機系,60,1,0,中文,
U64A 電機工程學系學士班,必修,二年級,2331,電子學(一) Z,Electronics (I),3,3,1234,EE106,許恒銘,電機系,90,0,0,中文,
U64A 電機工程學系學士班,必修,二年級,2333,電工實驗(一) a,Lab in Electrical Engineering (I),1,3,389A,EE503,吳國光,電機系,60,4,20,中文,
U64A 電機工程學系學士班,選修,二年級,2338,半導體工程 Z,Semiconductor Engineering,3,3,4234,EE207,賴聰賢,電機系,60,0,1,英文,
U64A 電機工程學系學士班,選修,三年級,3262,平面顯示器概論 Z,Introduction to Flat Panel Display,3,3,5234,EE202,汪芳興,電機系,60,0,49,中文,
U64A 電機工程學系學士班,必修,三年級,3401,電磁學(一) a,Electromagnetism (I),3,3,3234,EE201,林維亮,電機系,60,1,27,中/英文,
U64A 電機工程學系學士班,選修,三年級,3403,超大型積體電路設計導論 Z,Introduction to VLSI Design,3,3,4234,EE101,黃穎聰,電機系,81,1,0,中文,
U64A 電機工程學系學士班,選修,三年級,3404,自動控制 Z,Automatic Control,3,3,1678,EE202,陳正倫,電機系,90,0,27,中/英文,
U64A 電機工程學系學士班,選修,三年級,3406,類比電路設計 Z,Design Analog Circuit,3,3,2234,EE201,楊清淵,電機系,70,0,19,中文,
U64A 電機工程學系學士班,必修,三年級,3408,電工實驗(三) a,Lab in Electrical Engineering (III),1,3,489A,EE503,劉漢文等,電機系,60,0,21,中文,
U64A 電機工程學系學士班,選修,三年級,3411,基本通訊實驗 a,Lab in Communication Systems,1,3,3789,EE502,劉宗榮等,電機系,21,0,13,中文,
U64A 電機工程學系學士班,選修,三年級,3414,自動控制實驗 Z,Lab in Automatic Control,1,3,2789,EE401,陳正倫,電機系,31,1,3,中文,
U64A 電機工程學系學士班,選修,三年級,3415,微電子實驗 Z,Lab in Microelectronics,1,3,3789,EE102,江雨龍等,電機系,31,0,19,中文,
U64A 電機工程學系學士班,選修,三年級,3416,電機機械實驗 Z,Lab in Electric Machine,1,3,3789,EE511,蘇武昌,電機系,18,0,5,中文,
U64A 電機工程學系學士班,選修,三年級,3418,超大型積體電路設計實驗 Z,Lab in Design of VLSI Circuit,1,3,3789,EE607,許恒銘等,電機系,32,1,0,中文,
U64A 電機工程學系學士班,選修,三年級,3424,通訊理論 Z,Theory of Communication System,3,3,1234,EE207,陳喬恩,電機系,70,20,43,中文,
U64A 電機工程學系學士班,選修,四年級,4267,數位電路專題(二) Z,Special Topics in Digital Circuits (II),2,2,"11,21",*,黃穎聰,電機系,60,0,52,中文,
U64A 電機工程學系學士班,選修,四年級,4268,多媒體通訊專題(二) Z,Special Topics in Multimedia Communication (II),2,2,"11,21",*,翁芳標等,電機系,60,0,54,中文,
U64A 電機工程學系學士班,選修,四年級,4270,信號處理專題(二) Z,Special Projects on Signal Processing (II),2,2,"11,21",*,吳國光,電機系,60,0,60,中文,
U64A 電機工程學系學士班,選修,四年級,4271,微電子專題(二) Z,Special Projects on Microelectronics (II),2,2,"11,21",*,蘇武昌,電機系,60,0,54,中文,
U64A 電機工程學系學士班,選修,四年級,4272,微波專題(二) Z,Special Projects on Microwave (II),2,2,"11,21",*,江衍忠,電機系,60,0,48,中文,
U64A 電機工程學系學士班,選修,四年級,4273,資訊專題(二) Z,Special Projects on Information (II),2,2,"11,21",*,溫志煜,電機系,60,0,53,中文,
U64A 電機工程學系學士班,選修,四年級,4275,控制專題(二) Z,Special Projects on Control (II),2,2,"11,21",*,林俊良,電機系,60,0,57,中文,
U64A 電機工程學系學士班,選修,四年級,4276,電子電路專題(二) Z,Special Topics in Electronic Circuits (II),2,2,"11,21",*,張振豪,電機系,60,0,51,中文,
U64A 電機工程學系學士班,選修,四年級,4277,通信專題(二) Z,Special Topics in Communications (II),2,2,"11,21",*,陳後守,電機系,60,0,60,中文,
