系所,類別,年級,課號,科目中文,科目英文,學分,時數,時段(節次),教室,授課教師,開課單位,名額,已選,餘額,授課語言,備註
U64F 電機資訊學院學士班,必修,一年級,1208,微積分(一) f,Calculus (I),3,3,3567,Y207,陳世昕,應數系,60,32,,中文,
U64F 電機資訊學院學士班,必修,一年級,1224,普通物理學,General Physics,3,3,5234,S201,陳惠玉,物理系,50,17,,中文,
U64F 電機資訊學院學士班,必修,一年級,1262,普通物理學實驗 j,General Physics Lab,1,3,3123,S2A05,謝立青,物理系,60,28,,中文,
U64F 電機資訊學院學士班,必修,一年級,1302,計算機程式設計 f,Computer Programming,3,3,1234,EE402,吳國光等,電資學士,40,0,3,中文,
U64F 電機資訊學院學士班,選修,二年級,2317,硬體描述語言設計 Z,Hardware Description Language Design,3,3,5234,EE106,黃穎聰,電機系,65,0,0,中文,
U64F 電機資訊學院學士班,必修,二年級,2319,資料結構 Z,Data Structures,3,3,2234,EE108,蔡曉萍,電機系,50,0,0,中文,
U64F 電機資訊學院學士班,必修,二年級,2326,工程數學(二) Z,Engineering Mathematics (II),3,3,1567,EE108,蔡清池,電機系,40,0,0,英文/EMI,
U64F 電機資訊學院學士班,必修,二年級,2327,工程數學(三) Z,Engineering Mathematics (III),3,3,3567,EE201,陳後守,電機系,40,0,0,中文,
U64F 電機資訊學院學士班,必修,二年級,2329,電路學(一) Z,Electrical Circuits (I),3,3,3234,EE108,劉浚年,電機系,60,0,0,中文,
U64F 電機資訊學院學士班,選修,三年級,3209,智慧車輛 f,Intelligent Vehicle,3,3,5234,EE201,賴慶明,電資學士,40,0,40,中文,
U64F 電機資訊學院學士班,選修,三年級,3218,AI晶片設計 f,Hardware Accelerators for AI Deep Neural Networks,3,3,2678,EE202,吳崇賓,電資學士,65,0,,中文,
U64F 電機資訊學院學士班,必修,三年級,3222,物聯網專題(一) f,Special Projects on Internet-of-Thing (I),2,2,*,*,張延任,電資學士,40,0,26,中文,
U64F 電機資訊學院學士班,必修,三年級,3223,人工智慧專題(一) f,Special Project on AI (I),2,2,*,*,溫志煜,電資學士,40,0,25,中文,
U64F 電機資訊學院學士班,選修,三年級,3252,機器學習 f,Machine Learning,3,3,1234,EE102,張敏寬,電資學士,40,0,33,中文,
U64F 電機資訊學院學士班,選修,三年級,3403,超大型積體電路設計導論 Z,Introduction to VLSI Design,3,3,4234,EE101,黃穎聰,電機系,80,1,0,中文,
U64F 電機資訊學院學士班,選修,三年級,3404,自動控制 Z,Automatic Control,3,3,1678,EE202,陳正倫,電機系,90,0,27,中/英文,
U64F 電機資訊學院學士班,選修,三年級,3410,電機機械實驗 f,Lab in Electric Machine,1,3,3789,EE511・EE815,溫志煜,電資學士,31,0,25,中文,
U64F 電機資訊學院學士班,選修,三年級,3411,基本通訊實驗 Z,Lab in Communication Systems,1,3,3789,EE502,劉宗榮等,電機系,12,0,5,中文,
U64F 電機資訊學院學士班,選修,三年級,3412,基本通訊實驗 Z,Lab in Communication Systems,1,3,4789,EE502,陳後守等,電機系,11,0,0,中文,
U64F 電機資訊學院學士班,選修,三年級,3418,超大型積體電路設計實驗 Z,Lab in Design of VLSI Circuit,1,3,3789,EE607,許恒銘等,電機系,31,0,0,中文,
U64F 電機資訊學院學士班,選修,四年級,3414,自動控制實驗 Z,Lab in Automatic Control,1,3,2789,EE401,陳正倫,電機系,5,0,0,中文,
U64F 電機資訊學院學士班,選修,四年級,4269,深度學習 f,Deep Learning,3,3,4678,EE401,劉宗榮,電資學士,40,19,,中文,
