term,oldDomain,oldCluster,post110Domain,post110Cluster,courseCode,titleZH,titleEN,credits,timeCode,classroom,instructor,unit,quota,enrolled,available,language,note,extra1,extra2,rate
1141,人文,藝術,統合,專業實作,0201,美術工作坊,Art Workshop	2	278		Y605	鄧文貞	通識中心	40	43	0	中文	不開放校際選課	40	311	13%,,,,,,,,,,,,,
1141,自然,生命科學,統合,專業實作,0202,園藝與生活,Horticulture and Living	2	189		H300	張正等	通識中心	65	66	0	中文	不開放校際選課	65	295	22%,,,,,,,,,,,,,
1141,社會,商業與管理,統合,專業實作,0203,財務管理與投資,Financial Management and Investment	2	467		SC112	李超雄	通識中心	150	102	48	中文	建議非管院大三、大四同學選修	150	289	52%,,,,,,,,,,,,,
1141,社會,商業與管理,統合,專業實作,0204,財務管理與投資,Financial Management and Investment	2	156		U701	徐川皓	通識中心	45	33	12	中文	不開放校際選課	45	336	13%,,,,,,,,,,,,,
1141,社會,商業與管理,統合,專業實作,0205,財富管理實務,Wealth Management and Practice	2	234		Y212	林幸宜	通識中心	50	60	0	中文	不開放校際選課	50	286	17%,,,,,,,,,,,,,
1141,人文,哲學,統合,專業實作,0206,中醫哲學,Philosophy of Chinese Medicine	2	489		Y102	翁碩駿等	通識中心	32	37	0	中文	不開放校際選課及特殊加簽	32	530	6%,,,,,,,,,,,,,
1141,人文,文化,統合,專業實作,0207,國際禮儀與專業形象,"International Etiquette and Professional Image	2	534		Y605	彭瑞芝	通識中心	40	40	0	英文/EMI	English Conducting. Additional enrollment is not available. Classroom is Y605, prior notice will be given if use Y411.	40	156	26%",,,,,,,,,,,,,
1141,社會,商業與管理,統合,專業實作,0208,股市投資模擬實作,Stock Investment Simulation and Practice	3	1234		U701	徐川皓	通識中心	45	45	0	中文	不開放校際選課	45	312	14%,,,,,,,,,,,,,
1141,社會,商業與管理,統合,專業實作,0209,股市投資模擬實作,Stock Investment Simulation and Practice	3	2234		CC215	徐川皓	通識中心	50	34	16	中文	不開放校際選課	50	225	22%,,,,,,,,,,,,,
1141,社會,商業與管理,統合,專業實作,0210,股市投資模擬實作,Stock Investment Simulation and Practice	3	1678		SC112	張樹之	通識中心	150	149	1	中文	不開放校際選課	150	352	43%,,,,,,,,,,,,,
1141,社會,商業與管理,統合,專業實作,0211,設計思考,Design Thinking	2	256		Y102	鄭菲菲	通識中心	40	36	4	中文	不開放校際選課	40	104	38%,,,,,,,,,,,,,
1141,自然,生命科學,統合,專業實作,0212,香料植物之應用與保健機能,Application and Health Function of Spices and Herbs	2	134		Y403	古山吉(Kumar)	通識中心	50	52	0	英文/EMI	English Conducting.	50	137	36%,,,,,,,,,,,,,
1141,人文,文化,統合,專業實作,0213,太極拳基礎,"Basic Tai Chi	2	278		Y411	林彥佑	通識中心	24	24	0	中文	不開放校際選課;上課請穿球鞋及寬鬆衣服,部分課程須兩人一組對練	24	292	8%",,,,,,,,,,,,,
1141,人文,文化,統合,專業實作,0214,太極拳基礎,"Basic Tai Chi	2	434		Y411	林彥佑	通識中心	24	24	0	中文	不開放校際選課;上課請穿球鞋及寬鬆衣服,部分課程須兩人一組對練	24	332	7%",,,,,,,,,,,,,
1141,社會,資訊與傳播,統合,專業實作,0215,數位輔助：英語看世界,Hello World in English with Computer Assistance	2	*		*	蔡孟勳	通識中心	300	315	0	中文	非同步遠距教學。修課應準備一台windows或Mac電腦，並安裝好Chrome瀏覽器	300	1090	28%,,,,,,,,,,,,,
1141,自然,生命科學,統合,專業實作,0216,生活與醫療科技,Life and Medical Technology	2	334		ATB29	程德勝等	通識中心	70	72	0	中文	不開放校際選課及特殊加簽	70	473	15%,,,,,,,,,,,,,
1141,自然,生命科學,統合,專業實作,0217,生活與醫療科技,Life and Medical Technology	2	389		Y409	楊承達等	通識中心	31	35	0	中文	不開放校際選課及特殊加簽	31	423	7%,,,,,,,,,,,,,
1141,自然,生命科學,統合,專業實作,0218,生活與醫療科技,Life and Medical Technology	2	578		Y410	趙世鈞等	通識中心	31	31	0	中文	不開放校際選課及特殊加簽	31	561	6%,,,,,,,,,,,,,
1141,自然,生命科學,統合,專業實作,0219,生活與醫療科技,Life and Medical Technology	2	367		Y409	蕭舜文等	通識中心	31	34	0	中文	不開放校際選課及特殊加簽	31	342	9%,,,,,,,,,,,,,
1141,自然,數學統計,統合,專業實作,0220,摺紙數學之藝術,Art of Mathematical Origami	2	178		Y605	李林滄	通識中心	40	39	1	中文	不開放校際選課	40	573	7%,,,,,,,,,,,,,
1141,人文,藝術,統合,專業實作,0221,進階攝影,Advanced Photography	2	356		Y102	王銘滄	通識中心	40	40	0	中文	需自備相機；不開放校際選課及特殊加簽	40	253	16%,,,,,,,,,,,,,
1141,人文,藝術,統合,專業實作,0222,人文藝術博物館巡禮,A Tour of the Museum of Humanities and Art	2	278		Y305	何智勇	通識中心	70	72	0	中文	不開放校際選課	70	423	17%,,,,,,,,,,,,,
1141,自然,生命科學,統合,專業實作,0223,生活實用急救技能,First Aid and Resuscitation Techniques in Daily Life	2	178		Y109	柳育澤	通識中心	40	39	1	中文	不開放校際選課	40	350	11%,,,,,,,,,,,,,
1141,社會,資訊與傳播,統合,專業實作,0224,語言數位教學與實務,Digital Language Teaching: Theory and Practice	2	434		Y201	莊雅婷	通識中心	45	45	0	中文	需自備筆電	45	50	90%,,,,,,,,,,,,,
1141,自然,環境科學,統合,專業實作,0225,永續資源、能源暨碳管理,"Sustainable Energy, Resource and Carbon Management	2	478		Y410	王鴻勳	通識中心	40	32	8	中文	以大三以上及教育學程、學分學程為優先加簽對象	40	77	52%",,,,,,,,,,,,,
1141,社會,心理與教育,統合,專業實作,0226,職涯規劃與成就自我,Career Planning and Self Achievement	2	578		Y303	施又瑀	通識中心	48	47	1	中文	不開放校際選課及特殊加簽	48	391	12%,,,,,,,,,,,,,
1141,自然,環境科學,統合,專業實作,0228,登山露營趣,Let's Go Hiking and Camping	2	289		Y102	王東安	通識中心	31	39	0	英文/EMI	English Conducting. Inter-school course selection closed.	31	100	31%,,,,,,,,,,,,,
1141,自然,環境科學,統合,專業實作,0229,登山露營趣,Let's Go Hiking and Camping	2	534		Y102	林長鋆	通識中心	31	32	0	中文	不開放校際選課	31	195	16%,,,,,,,,,,,,,
1141,人文,藝術,統合,專業實作,0230,人聲作品介紹,Introduction to Vocal Works	2	312		Y112	陳彥蓉	通識中心	70	90	0	中文	不開放校際選課	70	341	21%,,,,,,,,,,,,,
1141,人文,藝術,統合,專業實作,0231,人聲作品介紹,Introduction to Vocal Works	2	334		Y112	陳彥蓉	通識中心	70	89	0	中文	不開放校際選課	70	342	20%,,,,,,,,,,,,,
1141,人文,文學,統合,專業實作,0232,自然寫作,Nature Writing	2	478		Y1308	程進發	通識中心	48	43	5	中文	不開放校際選課	48	97	49%,,,,,,,,,,,,,
1141,人文,文化,統合,專業實作,0233,日本文化見學,Study Tour of Japanese Culture	2	212		Y308	楊謦綺	通識中心	55	51	4	中文	不開放校際選課	55	210	26%,,,,,,,,,,,,,
1141,人文,文化,統合,專業實作,0234,日本文化見學,Study Tour of Japanese Culture	2	434		Y308	楊謦綺	通識中心	55	55	0	中文	不開放校際選課	55	210	26%,,,,,,,,,,,,,
1141,人文,藝術,統合,專業實作,0235,鋼琴演奏入門,Introduction to Piano Playing	2	356		Y605	陳欣宜	通識中心	40	40	0	中文	不開放校際選課	40	321	12%,,,,,,,,,,,,,
1141,人文,藝術,統合,專業實作,0236,鋼琴演奏入門,Introduction to Piano Playing	2	378		Y605	陳欣宜	通識中心	40	40	0	中文	不開放校際選課	40	280	14%,,,,,,,,,,,,,
1141,人文,藝術,統合,專業實作,0237,藝術家之書,Artist's Book	2	556		Y109	蔡佩儒	通識中心	40	40	0	中文	不開放校際選課	40	184	22%,,,,,,,,,,,,,
1141,人文,藝術,統合,專業實作,0238,藝術家之書,Artist's Book	2	578		Y109	蔡佩儒	通識中心	40	37	3	中文	不開放校際選課	40	100	40%,,,,,,,,,,,,,
1141,社會,商業與管理,統合,專業實作,0239,創新思維與應用,Innovative Thinking and Application	2	234		Y401	陳迪暉	通識中心	72	41	31	中文	不開放校際選課及特殊加簽	72	83	87%,,,,,,,,,,,,,
1141,自然,工程科技,統合,專業實作,0240,探索多重物理模擬的應用科學,"Explore the Applied Science of Multiphysics Simulations	2	134		Y1308	王鴻勳	通識中心	40	16	24	中文	此為電腦程式實作課程，建議課堂自備筆電(NoteBook, Laptop)操作安裝使用	40	64	63%",,,,,,,,,,,,,
1141,人文,藝術,統合,專業實作,0241,影像與音樂,The Collaboration of Music and Films	2	134		Y112	李美賢	通識中心	60	57	3	中文	不開放校際選課，須自備手機或筆電	60	191	31%,,,,,,,,,,,,,
1141,人文,藝術,統合,專業實作,0242,影像與音樂,The Collaboration of Music and Films	2	156		Y112	李美賢	通識中心	60	61	0	中文	不開放校際選課，須自備手機或筆電	60	178	34%,,,,,,,,,,,,,
