courseCode,titleZH,titleEN,credits,timeCode,classroom,instructor,unit,post110Domain,post110Cluster,quota,enrolled,available,language,note
0201,2,278,,Y605,通識中心,40,43,統合,專業實作,0,中文,不開放校際選課,40,311
0202,2,189,,H300,通識中心,65,66,統合,專業實作,0,中文,不開放校際選課,65,295
0203,2,467,,SC112,通識中心,150,102,統合,專業實作,48,中文,建議非管院大三、大四同學選修,150,289
0204,2,156,,U701,通識中心,45,33,統合,專業實作,12,中文,不開放校際選課,45,336
0205,2,234,,Y212,通識中心,50,60,統合,專業實作,0,中文,不開放校際選課,50,286
0206,2,489,,Y102,通識中心,32,37,統合,專業實作,0,中文,不開放校際選課及特殊加簽,32,530
0207,2,534,,Y605,通識中心,40,40,統合,專業實作,0,英文/EMI,"English Conducting. Additional enrollment is not available. Classroom is Y605, prior notice will be given if use Y411.",40,156
0208,3,1234,,U701,通識中心,45,45,統合,專業實作,0,中文,不開放校際選課,45,312
0209,3,2234,,CC215,通識中心,50,34,統合,專業實作,16,中文,不開放校際選課,50,225
0210,3,1678,,SC112,通識中心,150,149,統合,專業實作,1,中文,不開放校際選課,150,352
0211,2,256,,Y102,通識中心,40,36,統合,專業實作,4,中文,不開放校際選課,40,104
0212,2,134,,Y403,通識中心,50,52,統合,專業實作,0,英文/EMI,English Conducting.,50,137
0213,2,278,,Y411,通識中心,24,24,統合,專業實作,0,中文,"不開放校際選課;上課請穿球鞋及寬鬆衣服,部分課程須兩人一組對練",24,292
0214,2,434,,Y411,通識中心,24,24,統合,專業實作,0,中文,"不開放校際選課;上課請穿球鞋及寬鬆衣服,部分課程須兩人一組對練",24,332
0215,2,*,,*,通識中心,300,315,統合,專業實作,0,中文,非同步遠距教學。修課應準備一台windows或Mac電腦，並安裝好Chrome瀏覽器,300,1090
0216,2,334,,ATB29,通識中心,70,72,統合,專業實作,0,中文,不開放校際選課及特殊加簽,70,473
0217,2,389,,Y409,通識中心,31,35,統合,專業實作,0,中文,不開放校際選課及特殊加簽,31,423
0218,2,578,,Y410,通識中心,31,31,統合,專業實作,0,中文,不開放校際選課及特殊加簽,31,561
0219,2,367,,Y409,通識中心,31,34,統合,專業實作,0,中文,不開放校際選課及特殊加簽,31,342
0220,2,178,,Y605,通識中心,40,39,統合,專業實作,1,中文,不開放校際選課,40,573
0221,2,356,,Y102,通識中心,40,40,統合,專業實作,0,中文,需自備相機；不開放校際選課及特殊加簽,40,253
0222,2,278,,Y305,通識中心,70,72,統合,專業實作,0,中文,不開放校際選課,70,423
0223,2,178,,Y109,通識中心,40,39,統合,專業實作,1,中文,不開放校際選課,40,350
0224,2,434,,Y201,通識中心,45,45,統合,專業實作,0,中文,需自備筆電,45,50
0225,2,478,,Y410,通識中心,40,32,統合,專業實作,8,中文,以大三以上及教育學程、學分學程為優先加簽對象,40,77
