name,dept,requiredType,courseNumber,grade,schedule,weeks,buildingCode,room,instructor,credits,post110Domain,post110Cluster
美術工作坊,通識中心,通識,0201,,278,,Y,605,鄧文貞,2,統合,專業實作
園藝與生活,通識中心,通識,0202,,189,,H,300,張正等,2,統合,專業實作
財務管理與投資,通識中心,通識,0203,,467,,SC,112,李超雄,2,統合,專業實作
財務管理與投資,通識中心,通識,0204,,156,,U,701,徐川皓,2,統合,專業實作
財富管理實務,通識中心,通識,0205,,234,,Y,212,林幸宜,2,統合,專業實作
中醫哲學,通識中心,通識,0206,,489,,Y,102,翁碩駿等,2,統合,專業實作
國際禮儀與專業形象,通識中心,通識,0207,,534,,Y,605,彭瑞芝,2,統合,專業實作
股市投資模擬實作,通識中心,通識,0208,,1234,,U,701,徐川皓,3,統合,專業實作
股市投資模擬實作,通識中心,通識,0209,,2234,,CC,215,徐川皓,3,統合,專業實作
股市投資模擬實作,通識中心,通識,0210,,1678,,SC,112,張樹之,3,統合,專業實作
設計思考,通識中心,通識,0211,,256,,Y,102,鄭菲菲,2,統合,專業實作
香料植物之應用與保健機能,通識中心,通識,0212,,134,,Y,403,古山吉(Kumar),2,統合,專業實作
太極拳基礎,通識中心,通識,0213,,278,,Y,411,林彥佑,2,統合,專業實作
太極拳基礎,通識中心,通識,0214,,434,,Y,411,林彥佑,2,統合,專業實作
數位輔助：英語看世界,通識中心,通識,0215,,*,,,*,蔡孟勳,2,統合,專業實作
生活與醫療科技,通識中心,通識,0216,,334,,ATB,29,程德勝等,2,統合,專業實作
生活與醫療科技,通識中心,通識,0217,,389,,Y,409,楊承達等,2,統合,專業實作
生活與醫療科技,通識中心,通識,0218,,578,,Y,410,趙世鈞等,2,統合,專業實作
生活與醫療科技,通識中心,通識,0219,,367,,Y,409,蕭舜文等,2,統合,專業實作
摺紙數學之藝術,通識中心,通識,0220,,178,,Y,605,李林滄,2,統合,專業實作
進階攝影,通識中心,通識,0221,,356,,Y,102,王銘滄,2,統合,專業實作
人文藝術博物館巡禮,通識中心,通識,0222,,278,,Y,305,何智勇,2,統合,專業實作
生活實用急救技能,通識中心,通識,0223,,178,,Y,109,柳育澤,2,統合,專業實作
語言數位教學與實務,通識中心,通識,0224,,434,,Y,201,莊雅婷,2,統合,專業實作
永續資源、能源暨碳管理,通識中心,通識,0225,,478,,Y,410,王鴻勳,2,統合,專業實作
職涯規劃與成就自我,通識中心,通識,0226,,578,,Y,303,施又瑀,2,統合,專業實作
登山露營趣,通識中心,通識,0228,,289,,Y,102,王東安,2,統合,專業實作
登山露營趣,通識中心,通識,0229,,534,,Y,102,林長鋆,2,統合,專業實作
