name,dept,requiredType,courseNumber,grade,schedule,weeks,buildingCode,room,instructor,credits
微積分(一),資訊工程學系,必修,1226,1,"234,35",,AT,336,戴淯琮,3
普通物理學實驗,資訊工程學系,必修,1245,1,4567,,S2A,06,張志軍,1
普通物理學,資訊工程學系,必修,1255,1,3234,,S,201,林偉翔,3
計算機程式設計,資訊工程學系,必修,1279,1,5234,,S,821,王秀郎,3
機率,資訊工程學系,必修,1341,1,1234,,AT,338,吳俊霖,3
邏輯設計,資訊工程學系,必修,2152,2,3234,,AT,242,張延任,3
資料結構,資訊工程學系,必修,2202,2,1567,,AT,335,曾學文,3
線性代數,資訊工程學系,必修,2292,2,2234,,AT,338,陳煥,3
資訊安全導論,資訊工程學系,選修,2304,3,1234,,SC,112,林詠章,3
作業系統,資訊工程學系,必修,3171,3,"234,42",,AT,242,張軒彬,3
作業系統實驗,資訊工程學系,必修,3172,3,3678,,S,821,張軒彬,1
計算機組織,資訊工程學系,必修,3259,3,5234,,AT,242,陳奕中,3
資料庫管理系統導論,資訊工程學系,選修,3286,3,2678,,S,1002,林傑森,3
資訊專題(一) a,資訊工程學系,必修,3345,3,*,,*,*,林傑森,2
資訊專題(一) b,資訊工程學系,必修,3346,3,*,,*,*,陳奕中,2
資訊專題(一) c,資訊工程學系,必修,3347,3,*,,*,*,楊景明,2
人工智慧,資訊工程學系,選修,4108,4,3234,,AT,335,陳奕中,3
機器學習,資訊工程學系,選修,4117,4,2678,,S,821,楊景明,3
微積分(一) p,電機工程學系,必修,1220,1,3789,,EE,202,李洳錚,3
普通物理學實驗 k,電機工程學系,必修,1248,1,2567,,S2A,05,阮俊人,1
普通物理學 c,電機工程學系,必修,1256,1,1678,,S,202,王德賢,3
計算機概論 a,電機工程學系,選修,1303,1,2234,,EE,202,賴永康,3
計算機程式設計 Z,電機工程學系,必修,1305,1,3234,,EE,204,吳國光等,3
工程倫理 Z,電機工程學系,必修,1323,1,434,,EE,106,蘇武昌,2
硬體描述語言設計 Z,電機工程學系,選修,2317,2,5234,,EE,106,黃穎聰,3
資料結構 Z,電機工程學系,選修,2319,2,2234,,EE,108,蔡曉萍,3
工程數學(二) a,電機工程學系,必修,2325,2,1567,,EE,201,廖俊睿,3
工程數學(三) a,電機工程學系,必修,2327,2,3567,,EE,201,陳後守,3
電路學(一) Z,電機工程學系,必修,2329,2,3234,,EE,108,劉浚年,3
電子學(一) Z,電機工程學系,必修,2331,2,1234,,EE,106,許恒銘,3
電工實驗(一) a,電機工程學系,必修,2333,2,389A,,EE,503,吳國光,1
