類別,醫院/診所名稱,優惠對象,特色醫療,優惠項目,住址,電話,Google Maps
綜合醫院,中國醫藥大學附設醫院,教職員工、學生,秉持「以病人為尊、以員工為重、以醫院為榮」的核心價值，以發展成為「優秀卓越的世界一流醫學中心」為目標,住院：病房費自費項目九五折優待。西藥費、材料費、中藥費、檢驗費、治療處置費、證明書費、技術檢查費、核醫檢查費、放射線檢查/治療費、會診費、疫苗組套費、健康檢查費、復健治療費、診斷書費等自費項目九五折優待,臺中市北區育德路2號,04-22052121,https://www.google.com/maps/search/?api=1&query=中國醫藥大學附設醫院
綜合醫院,宏恩醫院,教職員工、學生配偶及直系眷屬、退休人員、退休人員配偶及其直系眷屬,青少年身心特診、癌症早期預防高階健檢、醫美美白抗皺,門診、急診免收掛號費。需自付部分負擔。住院及檢驗：自費項目九折優待。護理之家優待。高階健康檢查套餐九折優待,臺中市南區復興路二段38之13號,04-22623123,https://www.google.com/maps/search/?api=1&query=宏恩醫院
綜合醫院,宏恩醫院龍安分院,教職員工、學生配偶及直系眷屬、退休人員、退休人員配偶及其直系眷屬,青少年身心科特別門診、壓力不安、焦慮憂鬱、失眠等諮商,門診、急診免收掛號費。需自付部分負擔,臺中市南區德富路145巷2號,04-37017188,https://www.google.com/maps/search/?api=1&query=宏恩醫院龍安分院
綜合醫院,新菩提醫院,教職員工、學生配偶及直系眷屬、退休人員、退休人員配偶及其直系眷屬,誠摯希望每個人「吃得下飯、睡得著覺、笑得出來」來院患者能解除身心病痛,門診、急診免收掛號費。需自付部分負擔。住院：自費項目享有八折優待。自費醫療檢查九折優待（優惠專案除外）。自費健康檢查八折優待（優惠專案除外）,臺中市大里區中興路二段621號,04-24829966,https://www.google.com/maps/search/?api=1&query=新菩提醫院
綜合醫院,澄清綜合醫院（平等）,教職員工、學生,區域教學醫院、24小時急診全年無休、專科醫師專責照護、腹腔鏡手術、骨科微創術式、整形外科顯微手術,門診免收掛號費之優待。需自付部分負擔。住院：病床費享有九折優待。個人健康檢查九折優待,臺中市中區平等街139號,04-24632000,https://www.google.com/maps/search/?api=1&query=澄清綜合醫院
綜合醫院,衛生福利部臺中醫院,教職員工、學生,公立醫院的使命就是要平衡區域醫療資源、照護弱勢族群、協助災難及疫情救援、推行社區醫療保健及長照業務等國家政策,持有重大傷病、福保、領有身心障礙手冊及70歲以上免掛號費。健檢套餐九折優待,臺中市西區三民路一段199號,04-22294411,https://www.google.com/maps/search/?api=1&query=衛生福利部臺中醫院
綜合醫院,臺中榮民總醫院,教職員工、學生,引進高科技設備及技術，提供以「病人為中心」全方位整合性照護,全身健康檢查套餐九折優待。友好核心癌篩套餐九折優待。友好高階套餐九折優待,臺中市西屯區台灣大道四段1650號,04-23592525,https://www.google.com/maps/search/?api=1&query=臺中榮民總醫院
綜合醫院,彰化基督教醫院,教職員工,秉持耶穌基督洗腳精神，以謙卑服務、無私奉獻的態度，成為彰化唯一醫學中心,門診、急診免收掛號費。需自付部分負擔。住院：自費項目九折優待。萬元以上健康檢查套餐九折優待,彰化市南校街135號,04-7238595,https://www.google.com/maps/search/?api=1&query=彰化基督教醫院
綜合醫院,童綜合醫院,教職員工、學生,專注於重症照護，特別在泌尿科、骨科、心血管外科、腦外科和整形外科等領域取得卓越成就,門診掛號費優待50元。急診掛號費優待100元。需自付部分負擔。住院：自費項目九折優待,臺中市梧棲區台灣大道八段699號,04-26581919,https://www.google.com/maps/search/?api=1&query=童綜合醫院
綜合醫院,秀傳紀念醫院,教職員工,以「用心、創新、視病猶親」為宗旨，除在醫療技術、醫療新知和醫療儀器設備上，不斷求新、求進步,門診、急診免收掛號費。需自付部分負擔,彰化市中山路一段542號,04-7256166,https://www.google.com/maps/search/?api=1&query=秀傳紀念醫院
外科,羅倫檭診所,教職員工、學生,家醫科、外科,門診、急診免收掛號費。需自付部分負擔,臺中市南區仁和路185號,04-22871048,https://www.google.com/maps/search/?api=1&query=羅倫檭診所
